library,os_type,library_type,crypto_dependency,algorithm,primitive,key_size,detection_method
/usr/lib/x86_64-linux-gnu/gconv/HP-ROMAN9.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/HP-THAI8.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/HP-TURKISH8.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM037.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM038.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1004.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1008.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1008_420.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1025.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1026.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1046.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1047.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1097.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1112.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1122.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1123.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1124.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1129.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1130.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1132.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1133.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1137.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1140.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1141.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1142.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1143.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1144.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/gconv/IBM1145.so,unix,shared,none,unknown,unknown,unknown,static-string
